amber;a deep yellow color "an amber light illuminated the room" "he admired the gold of her hair" 
technicolor;a trademarked method of making color motion pictures 
tl;a soft grey malleable metallic element that resembles tin but discolors on exposure to air it is highly toxic and is used in rodent and insect poisons occurs in zinc blende and some iron ores 
triton;tropical marine gastropods having beautifully colored spiral shells 
triton;small usually bright-colored semiaquatic salamanders of North America and Europe and northern Asia 
turner;English landscape painter whose treatment of light and color influenced the French impressionists (1775-1851) 
uranus;a giant planet with a ring of ice particles the 7th planet from the sun has a blue-green color and many satellites "Uranus was discovered by William Herschel in 1781" 
violet;a variable color that lies beyond blue in the spectrum 
wash;a watercolor made by applying a series of monochrome washes one over the other 
white;the quality or state of the achromatic color of greatest lightness (bearing the least resemblance to black) 
xe;a colorless odorless inert gaseous element occurring in the earth's atmosphere in trace amounts 
young;British physicist and Egyptologist he revived the wave theory of light and proposed a three-component theory of color vision he also played an important role in deciphering the hieroglyphics on the Rosetta Stone (1773-1829) 
